q_id	q0	doc_id	score	rank	model
1	0	s_993_781_1	0.9973973035812378	1	distilbert-base-uncased-emotion
1	0	s_2286_168_4	0.9971716403961182	2	distilbert-base-uncased-emotion
1	0	s_17_843_10	0.9945858716964722	3	distilbert-base-uncased-emotion
1	0	s_962_142_0	0.9938167333602905	4	distilbert-base-uncased-emotion
1	0	s_2953_456_0	0.9927375912666321	5	distilbert-base-uncased-emotion
1	0	s_697_135_6	0.9916732311248779	6	distilbert-base-uncased-emotion
1	0	s_131_921_5	0.9915515184402466	7	distilbert-base-uncased-emotion
1	0	s_8_355_2	0.9910438060760498	8	distilbert-base-uncased-emotion
1	0	s_507_383_0	0.9892752170562744	9	distilbert-base-uncased-emotion
1	0	s_1132_1004_0	0.9888632297515869	10	distilbert-base-uncased-emotion
1	0	s_508_7_5	0.9879737496376038	11	distilbert-base-uncased-emotion
1	0	s_776_728_1	0.9868828654289246	12	distilbert-base-uncased-emotion
1	0	s_132_167_0	0.986415445804596	13	distilbert-base-uncased-emotion
1	0	s_1601_794_0	0.9862677454948425	14	distilbert-base-uncased-emotion
1	0	s_8_1120_3	0.986196756362915	15	distilbert-base-uncased-emotion
1	0	s_8_1124_3	0.9861966371536255	16	distilbert-base-uncased-emotion
1	0	s_1329_146_7	0.9858710765838623	17	distilbert-base-uncased-emotion
1	0	s_2006_20_3	0.9857152700424194	18	distilbert-base-uncased-emotion
1	0	s_2415_194_3	0.9854001998901367	19	distilbert-base-uncased-emotion
1	0	s_2139_123_4	0.9853984117507935	20	distilbert-base-uncased-emotion
1	0	s_1404_769_6	0.9846066236495972	21	distilbert-base-uncased-emotion
1	0	s_371_142_0	0.9843896627426147	22	distilbert-base-uncased-emotion
1	0	s_1265_212_0	0.9843387603759766	23	distilbert-base-uncased-emotion
1	0	s_1715_78_18	0.983435869216919	24	distilbert-base-uncased-emotion
1	0	s_1581_10_9	0.9829403162002563	25	distilbert-base-uncased-emotion
1	0	s_2749_78_0	0.9825038909912109	26	distilbert-base-uncased-emotion
